Naam,Geslacht,Specialisme,Praktijk,Stad of Dorp,Provincie,Land,Score,Aantal waarderingen,Latitude,Longitude
"Hofstra, J.",Man,Onbekend,Praktijk voor Psychotherapie Hofstra,Warnsveld,Gelderland,Nederland,0,0,52.16548,6.25521
"Klerk, R.J. de",Vrouw,Onbekend,Praktijk voor Psychologie en Psychotherapie de Lindehoeve,Voorschoten,Zuid-Holland,Nederland,9.8,1,52.12449,4.44682
"Baars, L.P.Y.",Vrouw,Onbekend,Psychologenpraktijk Baars,Lunteren,Gelderland,Nederland,0,0,52.10079,5.62837
"Cherpanath, A.H.J.",Vrouw,Onbekend,De Vrije praktijk voor psychotherapie,Amsterdam,Noord-Holland,Nederland,0,0,0,0
"Hoogenband, F.I. van den",Vrouw,Onbekend,Praktijk voor Psychologie en Psychotherapie de Lindehoeve,Voorschoten,Zuid-Holland,Nederland,0,0,52.12449,4.44682
"Hutten, R.S. van",Vrouw,Onbekend,Meander Medisch Centrum,Amersfoort,Utrecht,Nederland,0,0,52.17472,5.3709
"Mol, C.M. de",Vrouw,Onbekend,Praktijk voor Psychologie en Psychotherapie de Lindehoeve,Voorschoten,Zuid-Holland,Nederland,0,0,52.12449,4.44682
"Schnetz, J.",Vrouw,Onbekend,Marjan Schnetz Psychotherapie & Coaching,Leiden,Zuid-Holland,Nederland,0,0,52.15819,4.48187
"Zwaan, J.M.W.G.",Vrouw,Onbekend,Praktijk Zwaan,Leiden,Zuid-Holland,Nederland,0,0,0,0
